,ID,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJCLOSE
1428,,MSFT,2015-03-24,38.3618,38.7518,38.3318,38.4818,25513300.0,38.4818
1429,,MSFT,2015-02-06,38.0435,38.1535,37.5135,37.7735,34616600.0,37.7735
1430,,MSFT,2014-12-31,41.6518,42.3618,41.3718,41.3718,21552500.0,41.3718
1431,,MSFT,2014-09-11,41.3393,41.5993,41.0693,41.5993,29216400.0,41.5993
1432,,MSFT,2014-03-03,33.1384,33.3484,32.7084,32.9984,29717500.0,32.9984
1433,,MSFT,2013-07-09,29.5783,29.5982,29.1383,29.3482,25318500.0,29.3482
1434,,MSFT,2013-04-19,25.108,25.728,25.098,25.258,99790700.0,25.258
1435,,MSFT,2012-10-15,24.4895,24.8395,24.3695,24.6295,42440200.0,24.6295
1436,,MSFT,2012-10-04,25.0035,25.0635,24.6035,25.0635,43634900.0,25.0635
1437,,MSFT,2012-08-07,24.8992,25.1792,24.6992,25.0892,28002900.0,25.0892
1438,,MSFT,2012-01-20,23.4226,24.3426,23.3526,24.3126,165902900.0,24.3126
1439,,MSFT,2011-05-24,19.5419,19.6319,19.3819,19.4919,47691800.0,19.4919
1440,,MSFT,2011-04-29,21.4143,21.5043,20.2243,20.7843,319317900.0,20.7843
1441,,MSFT,2011-01-03,22.3743,22.5043,22.2443,22.3043,53443800.0,22.3043
1442,,MSFT,2010-07-14,20.1087,20.2187,19.7287,20.0487,72808100.0,20.0487
1443,,MSFT,2010-05-28,20.3725,20.6525,20.1925,20.3325,67496900.0,20.3325
1444,,MSFT,2010-02-02,22.1341,22.2641,21.9041,22.2241,54413700.0,22.2241
1445,,MSFT,2010-01-19,23.9356,24.4256,23.8656,24.2856,46575700.0,24.2856
1446,,MSFT,2009-05-14,15.1806,15.5806,15.1506,15.4106,54539500.0,15.4106
1447,,MSFT,2009-05-04,15.6905,15.7205,15.3005,15.5105,54313400.0,15.5105
1448,,MSFT,2009-01-08,14.8614,15.4214,14.7814,15.3514,70255400.0,15.3514
1449,,MSFT,2008-12-29,14.6564,14.7164,14.1464,14.4664,58512800.0,14.4664
